"user_id","time","incoming","dest_user_id","dest.phone.hash"
61,2008-01-01 15:00:25,0,1,"3502965008"
61,2008-01-01 15:00:25,0,61,"3480933661"
61,2008-01-01 15:00:25,1,1,"3502965008"
61,2008-01-01 15:00:25,1,,"177622"
61,2008-01-01 15:00:25,1,61,"3480933661"
37,2008-01-01 17:39:50,1,,"1361435264"
37,2008-01-01 17:39:50,0,,"2775336710"
37,2008-01-02 23:18:10,1,37,"310381472"
37,2008-01-02 23:18:10,1,,"2775336710"
37,2008-01-04 14:55:44,1,,"1361435264"
37,2008-01-04 14:55:44,1,,"3224177634"
37,2008-01-04 14:55:44,1,,"2511856882"
37,2008-01-04 14:55:44,0,,"3867576797"
37,2008-01-04 14:55:44,0,37,"310381472"
61,2008-01-06 12:01:36,0,1,"3502965008"
37,2008-01-21 22:02:38,1,,"310384803"
37,2008-01-21 22:02:38,1,,"1361435264"
61,2008-01-22 22:01:47,1,,"177622"
37,2008-01-26 01:17:06,1,,"1361435264"
37,2008-01-27 12:26:24,0,37,"310381472"
37,2008-01-27 12:26:24,1,37,"310381472"
61,2008-01-27 16:49:37,1,61,"3480933661"
57,2008-01-28 12:05:07,0,,"2884325110"
57,2008-01-28 12:05:07,0,,"675833498"
57,2008-01-28 12:05:07,0,,"4100035701"
57,2008-01-28 12:05:07,0,,"2884325110"
57,2008-01-28 12:05:07,0,,"675833498"
57,2008-01-28 12:05:07,0,,"4100035701"
57,2008-01-28 12:05:07,0,,"2884325110"
57,2008-01-28 12:05:07,0,,"675833498"
57,2008-01-28 12:05:07,0,,"4100035701"
37,2008-01-30 18:37:17,1,37,"310381472"
37,2008-01-30 19:01:24,0,,"1361435264"
37,2008-01-30 19:01:24,0,37,"310381472"
16,2008-01-31 20:03:45,1,,"648361446"
16,2008-01-31 21:03:45,1,,"648361446"
37,2008-02-17 18:02:46,1,,"1361435264"
37,2008-02-17 18:02:46,1,37,"310381472"
37,2008-02-17 18:02:46,0,,"1295063717"
5,2008-02-26 18:42:02,1,,"2457434914"
5,2008-02-26 19:42:02,1,,"2457434914"
5,2008-02-26 20:42:02,1,,"2457434914"
5,2008-02-28 18:08:50,1,,"4238471886"
5,2008-02-28 19:08:50,1,,"4238471886"
5,2008-02-28 20:08:50,1,,"4238471886"
5,2008-03-06 09:43:12,1,,"1080586285"
5,2008-03-06 10:43:12,1,,"1080586285"
5,2008-03-06 11:43:12,1,,"1080586285"
5,2008-03-06 15:47:37,1,,"1088995374"
5,2008-03-06 16:47:37,1,,"1088995374"
5,2008-03-06 17:47:37,1,,"1088995374"
5,2008-03-08 16:44:17,1,,"1088995374"
5,2008-03-08 17:44:17,1,,"1088995374"
5,2008-03-08 18:44:17,1,,"1088995374"
5,2008-03-17 20:34:36,1,,"2297345650"
5,2008-03-17 21:34:36,1,,"2297345650"
5,2008-03-17 22:34:36,1,,"2297345650"
5,2008-03-21 11:35:15,1,,"2297345651"
5,2008-03-21 12:35:15,1,,"2297345651"
5,2008-03-21 13:35:15,1,,"2297345651"
5,2008-03-30 10:14:48,1,,"3859310224"
5,2008-03-30 11:14:48,1,,"3859310224"
5,2008-03-30 12:14:48,1,,"3859310224"
61,2008-03-31 19:49:18,1,1,"3502965008"